product_id,text,high_endurance,high_pixel,large_screen,high_performance,high_cost_effective,high_portability
1,天语 T91 CPU型号:以官网信息为准  运行内存(GB):以官网信息为准 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:其他耳机 NFC/NFC模式:不支持NFC 光圈:无光圈 像素(万):无前置摄像头 光圈:无光圈 像素(万):30 机身颜色:红色 机身长度(mm):104 机身重量(g):109 机身材质工艺:注塑+喷涂 机身宽度(mm):53 机身材质分类:塑胶后盖 机身厚度(mm):20 机身存储(GB):以官网信息为准 分辨率:240*320 屏幕材质类型:TFT 屏幕比例:4:3 主屏幕尺寸:2.4英寸 169.0,0.0,0.0,1.0,0.0,1.0,1.0
2,中兴 中兴ZTE Blade A7 CPU型号:Helio  运行内存(GB):2 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.4 像素(万):500 光圈:f/2.0 像素(万):1600 机身颜色:魅海蓝 机身长度(mm):154 机身重量(g):146 机身材质工艺:参考官网信息 机身宽度(mm):72.8 机身材质分类:塑胶后盖 机身厚度(mm):7.9 机身存储(GB):32 分辨率:1560*720 屏幕材质类型:TFT 屏幕比例:19.5:9 主屏幕尺寸:6.088英寸 499.0,0.0,1.0,1.0,0.0,1.0,0.0
3,海思 荣耀10 CPU型号:麒麟710  运行内存(GB):以官网信息为准 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;蓝牙 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:f/2.0 像素(万):2400 光圈:f/1.8 像素(万):1300 机身颜色:蓝色 机身长度(mm):154.8 机身重量(g):162 机身材质工艺:以官网信息为准 机身宽度(mm):73.64 机身材质分类:以官网信息为准 机身厚度(mm):7.95 机身存储(GB):以官网信息为准 分辨率:697416 屏幕材质类型:其他 屏幕比例:以官网信息为准 主屏幕尺寸:6.21英寸 1328.0,1.0,0.0,0.0,0.0,1.0,1.0
4,华为 荣耀Play3 CPU型号:HUAWEI  运行内存(GB):6 操作系统:Android 操作系统版本:EMUI 9.1.1 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.0 像素(万):800 光圈:f/1.8 像素(万):4800 机身颜色:极光蓝 机身长度(mm):159.81 机身重量(g):176 机身材质工艺:以官网信息为准 机身宽度(mm):76.13 机身材质分类:以官网信息为准 机身厚度(mm):8.13 机身存储(GB):64 分辨率:1560x720 屏幕材质类型:TFT 屏幕比例:以官网信息为准 主屏幕尺寸:6.39英寸 1299.0,1.0,1.0,0.0,1.0,0.0,0.0
5,华为 HUAWEI Mate 30 CPU型号:麒麟990  运行内存(GB):8 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;WiFi热点;蓝牙 耳机接口类型:Type-C NFC/NFC模式:其他 光圈:f/2.0 像素(万):3200 光圈:f/1.8 像素(万):4000 机身颜色:黑色 机身长度(mm):158.1 机身重量(g):198 机身材质工艺:以官网信息为准 机身宽度(mm):73.1 机身材质分类:金属边框;玻璃后盖 机身厚度(mm):8.8 机身存储(GB):128 分辨率:2400×1176 屏幕材质类型:OLED 屏幕比例:以官网信息为准 主屏幕尺寸:6.53英寸 5809.0,0.0,0.0,1.0,1.0,0.0,1.0
6,vivo Z5x CPU型号:骁龙710  运行内存(GB):6 操作系统:Android 操作系统版本:Android 9 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.0 像素(万):1600 光圈:f/1.78 像素(万):1600 机身颜色:极夜黑 机身长度(mm):162.39 机身重量(g):204.1 机身材质工艺:以官网信息为准 机身宽度(mm):77.33 机身材质分类:以官网信息为准 机身厚度(mm):8.85 机身存储(GB):64 分辨率:2340*1080 屏幕材质类型:LCD 屏幕比例:19.5:9 主屏幕尺寸:6.53英寸 1298.0,1.0,0.0,1.0,0.0,1.0,0.0
7,OPPO OPPO K5 CPU型号:骁龙730G  运行内存(GB):6 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;NFC;蓝牙 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:f/2.0 像素(万):3200 光圈:f/1.8 像素(万):6400 机身颜色:奇幻森林 机身长度(mm):158.7 机身重量(g):182 机身材质工艺:CNC+热弯+logo印刷+贴合 机身宽度(mm):75.16 机身材质分类:玻璃后盖 机身厚度(mm):8.55 机身存储(GB):128 分辨率:2340*1080 屏幕材质类型:AMOLED 屏幕比例:19.5:9 主屏幕尺寸:6.4英寸 1899.0,1.0,1.0,0.0,0.0,0.0,1.0
8,华为 荣耀Note10 CPU型号:麒麟970  运行内存(GB):6 操作系统:Android 操作系统版本:Android 8.1.0 数据传输接口:NFC;蓝牙 耳机接口类型:Type-C NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模拟 光圈:f/2.0 像素(万):1300 光圈:f/1.8 像素(万):2400 机身颜色:幻夜黑 机身长度(mm):177 机身重量(g):230 机身材质工艺:卡托 机身宽度(mm):85 机身材质分类:金属边框;玻璃后盖 机身厚度(mm):7.65 机身存储(GB):64 分辨率:1080x2220 屏幕材质类型:AMOLED 屏幕比例:以官网信息为准 主屏幕尺寸:6.95英寸 1699.0,0.0,1.0,1.0,0.0,1.0,0.0
9,三星 三星 Galaxy A60元气版 CPU型号:骁龙675  运行内存(GB):6 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI 耳机接口类型:Type-C NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模拟 光圈:f/2.0 像素(万):1600 光圈:f/1.7 像素(万):3200 机身颜色:丹宁黑 机身长度(mm):155.3 机身重量(g):168 机身材质工艺:以官网信息为准 机身宽度(mm):73.9 机身材质分类:以官网信息为准 机身厚度(mm):7.9 机身存储(GB):64 分辨率:2340*1080 屏幕材质类型:TFT 屏幕比例:19.5:9 主屏幕尺寸:6.3英寸 229.0,1.0,1.0,0.0,1.0,0.0,0.0
10,华为 荣耀10青春 CPU型号:麒麟710  运行内存(GB):以官网信息为准 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:以官网信息为准 像素(万):2400 光圈:以官网信息为准 像素(万):1300 机身颜色:黑色 机身长度(mm):154.8 机身重量(g):162 机身材质工艺:以官网信息为准 机身宽度(mm):73.64 机身材质分类:以官网信息为准 机身厚度(mm):7.95 机身存储(GB):以官网信息为准 分辨率:596120 屏幕材质类型:其他 屏幕比例:以官网信息为准 主屏幕尺寸:6.21英寸 979.0,1.0,0.0,0.0,0.0,1.0,1.0
11,海思 华为畅享 10Plus CPU型号:麒麟710F  运行内存(GB):4 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WiFi Direct;WIFI;WiFi热点;蓝牙;OTG接口 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.2 像素(万):1600 光圈:f/1.8 像素(万):4800 机身颜色:以官网信息为准 机身长度(mm):163.5 机身重量(g):196.8 机身材质工艺:以官网信息为准 机身宽度(mm):77.3 机身材质分类:以官网信息为准 机身厚度(mm):8.8 机身存储(GB):128 分辨率:2340 屏幕材质类型:LTPS 屏幕比例:19.5:9 主屏幕尺寸:6.59英寸 1499.0,0.0,0.0,1.0,0.0,1.0,1.0
12,天语 Q31 CPU型号:以官网信息为准  运行内存(GB):以官网信息为准 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:其他耳机 NFC/NFC模式:不支持NFC 光圈:无光圈 像素(万):无前置摄像头 光圈:以官网信息为准 像素(万):30 机身颜色:黑色 机身长度(mm):138 机身重量(g):97 机身材质工艺:喷油 机身宽度(mm):63 机身材质分类:塑胶后盖 机身厚度(mm):28.5 机身存储(GB):以官网信息为准 分辨率:240*320 屏幕材质类型:TFT 屏幕比例:4:3 主屏幕尺寸:2.4英寸 138.0,1.0,0.0,0.0,1.0,1.0,0.0
13,高通 小米9 CPU型号:骁龙855  运行内存(GB):8 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:其他;蓝牙 耳机接口类型:Type-C NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模拟 光圈:f/2.0 像素(万):2000 光圈:f/1.75 像素(万):4800 机身颜色:全息幻彩蓝 机身长度(mm):157.5 机身重量(g):173 机身材质工艺:以官网信息为准 机身宽度(mm):74.67 机身材质分类:玻璃后盖 机身厚度(mm):7.61 机身存储(GB):256 分辨率:2340*1080 屏幕材质类型:AMOLED 屏幕比例:19.5:9 主屏幕尺寸:6.39 2999.0,1.0,1.0,0.0,1.0,0.0,0.0
14,华为 华为畅享MAX CPU型号:骁龙660  运行内存(GB):4 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.0 像素(万):800 光圈:f/2.0 像素(万):1600 机身颜色:幻夜黑 机身长度(mm):177.57 机身重量(g):210 机身材质工艺:卡托 机身宽度(mm):86.24 机身材质分类:金属边框;塑胶后盖 机身厚度(mm):8.48 机身存储(GB):128 分辨率:1080x2244 屏幕材质类型:TFT 屏幕比例:以官网信息为准 主屏幕尺寸:7.12英寸 1399.0,0.0,1.0,1.0,1.0,0.0,0.0
15,三星 三星 Galaxy A80 CPU型号:骁龙730G  运行内存(GB):8 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;NFC;蓝牙 耳机接口类型:Type-C NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模式;支持卡模拟 光圈:f/2.0 像素(万):4800 光圈:f/2.0 像素(万):4800 机身颜色:蜜桃金 机身长度(mm):165.2 机身重量(g):220 机身材质工艺:以官网信息为准 机身宽度(mm):76.5 机身材质分类:玻璃后盖 机身厚度(mm):9.3 机身存储(GB):128 分辨率:2400*1080 屏幕材质类型:Super 屏幕比例:18:9 主屏幕尺寸:6.7英寸 3799.0,1.0,0.0,1.0,0.0,0.0,1.0
